iter	RMSE
0	0.332478303
1	0.3294195602
2	0.3258315826
3	0.3229139634
4	0.3191732032
5	0.3158419782
6	0.3123384522
7	0.3093277882
8	0.305722138
9	0.3024350913
10	0.2992311242
11	0.2960437056
12	0.2928336657
13	0.2899869295
14	0.2871613704
15	0.2842164495
16	0.2811761362
17	0.2781749519
18	0.2754668379
19	0.272529673
20	0.2696841591
21	0.2669790635
22	0.2646615152
23	0.2619911831
24	0.2594981395
25	0.2567569649
26	0.2541579027
27	0.251498544
28	0.2490794453
29	0.2464973964
30	0.2440614384
31	0.2419412204
32	0.2396182946
33	0.2374730818
34	0.2354129323
35	0.2332481657
36	0.231376315
37	0.2294530295
38	0.2273071343
39	0.2254965668
40	0.223857134
41	0.2217966177
42	0.2198008667
43	0.2179102543
44	0.2161658846
45	0.2144718058
46	0.2126653946
47	0.2109787742
48	0.2093064661
49	0.2077546779
50	0.2062864855
51	0.2046907618
52	0.2030442587
53	0.2012607535
54	0.1996971396
55	0.198215899
56	0.1967222752
57	0.1952661083
58	0.1939339012
59	0.1926316319
60	0.1913296314
61	0.1898282382
62	0.1886558922
63	0.1873345155
64	0.1860680781
65	0.1847839824
66	0.1835577895
67	0.182268783
68	0.1808344656
69	0.1796324608
70	0.1785045862
71	0.1773648138
72	0.1762215756
73	0.1749470878
74	0.173823353
75	0.1727659809
76	0.171752264
77	0.1706490338
78	0.1695596937
79	0.1685747067
80	0.1675424516
81	0.16653673
82	0.1654552812
83	0.1644385288
84	0.1634984956
85	0.1626440618
86	0.1618379373
87	0.1608492287
88	0.1597981507
89	0.1588744195
90	0.1581244673
91	0.1571912844
92	0.1563756653
93	0.155673813
94	0.1549140976
95	0.1541187479
96	0.1532249895
97	0.1525282421
98	0.1517369622
99	0.1509358784
100	0.1501587246
101	0.1493468979
102	0.148656136
103	0.1480078083
104	0.1473746314
105	0.1467009982
106	0.1460940745
107	0.1454130674
108	0.1446814543
109	0.1441013536
110	0.1434294481
111	0.1428225662
112	0.1422983695
113	0.1417015628
114	0.1411646932
115	0.1406196658
116	0.1400055037
117	0.1394046155
118	0.1387719359
119	0.1382459756
120	0.1376506463
121	0.1371338706
122	0.1366336141
123	0.1360868819
124	0.1356049398
125	0.1350333306
126	0.134540671
127	0.1339920017
128	0.1335243287
129	0.1330568618
130	0.1325443206
131	0.1321034488
132	0.1315568349
133	0.1310947085
134	0.1306364541
135	0.1302301341
136	0.1298170391
137	0.1294287571
138	0.1290177687
139	0.1285432934
140	0.1282124688
141	0.127791712
142	0.1274185349
143	0.1270418586
144	0.1266640484
145	0.1263335061
146	0.1259328123
147	0.1254247543
148	0.1250261863
149	0.1247058054
150	0.1243963924
151	0.1240308011
152	0.1236115926
153	0.1232251505
154	0.1228649692
155	0.1225696676
156	0.1222712992
157	0.1218744609
158	0.1215943931
159	0.121266223
160	0.120936225
161	0.1206393513
162	0.1203355643
163	0.1200181535
164	0.1197023255
165	0.1193397054
166	0.1191202808
167	0.1188343023
168	0.1185617633
169	0.1182923517
170	0.1180081282
171	0.1177257288
172	0.1174619466
173	0.1171722258
174	0.1169000972
175	0.1166245285
176	0.1163069293
177	0.1160111963
178	0.1157847796
179	0.1154644066
180	0.1151683008
181	0.114973761
182	0.1147722788
183	0.1145240252
184	0.1143094468
185	0.1140720078
186	0.1138390173
187	0.1135912211
188	0.113340811
189	0.1130308986
190	0.1127670853
191	0.1126098115
192	0.1123925945
193	0.1121612528
194	0.1119411881
195	0.1117391695
196	0.1114608668
197	0.111246902
198	0.1110370931
199	0.1107874948
200	0.110629054
201	0.1104121838
202	0.1102715179
203	0.1100570872
204	0.1098906613
205	0.1097225999
206	0.1095061276
207	0.1092893543
208	0.1091469869
209	0.1089370069
210	0.1087786006
211	0.1085937276
212	0.1083315119
213	0.1081105891
214	0.1079039865
215	0.1077005335
216	0.1075510324
217	0.1074265815
218	0.1071777004
219	0.1070622083
220	0.1069064434
221	0.10675265
222	0.1066183756
223	0.106431356
224	0.10627653
225	0.1061162683
